22-02-28 19:41:08 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:41:08 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:41:09 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:41:11 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:41:39 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:41:40 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:41:41 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:41:43 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:41:47 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:42:18 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:42:55 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:43:17 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:43:18 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:44:39 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:44:40 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:pato@192.168.43.36>
22-02-28 19:45:37 [INVITE] Calling : <sip:linphone@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:47:15 [INVITE] Calling : <sip:linphone@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:48:13 [INVITE] Calling : <sip:linphone@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:49:09 [INVITE] Calling : <sip:linphone@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 22:39:28 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-02-28 22:39:31 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-02-28 22:39:31 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-02-28 22:40:14 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-02-28 22:41:22 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-02-28 22:42:13 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-02-28 22:42:13 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-02-28 22:43:58 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-02-28 22:44:45 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-02-28 22:46:44 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-02-28 22:48:02 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-02-28 23:22:13 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-03-01 00:38:51 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linpone@147.175.191.210>
22-03-01 00:38:52 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linpone@147.175.191.210>
22-03-01 00:38:53 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linpone@147.175.191.210>
22-03-01 00:38:55 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linpone@147.175.191.210>
22-03-01 00:38:59 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linpone@147.175.191.210>
22-03-01 00:39:31 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 00:43:50 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 00:45:12 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 00:45:54 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 00:46:12 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 01:01:40 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 01:02:00 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:03:22 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 08:03:49 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:04:42 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 08:06:01 [BYE] Call ended by : <sip:linphone@147.175.191.210>
